row	verdict	clojure	wat said	koan
1	literal	true		(= "plum" "plum")
2	literal	true		(= "fig" (str 'fig))
3	died	true	ArityMismatch: :wat::core::str: expected 1 arguments, got 3	(= "pear and plum" (str "pear" " and " "plum"))
4	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects :wat::core::char; got (:wat::core::Option :- [:?])	(= \e (get "pear" 1))
5	died	true	TypeMismatch: :wat::core::length: expected (Vector :- [T]), (HashMap :- [K V]), (PersistentMap :- [K V]), (PersistentVector :- [T]), (HashSet :- [T]), or (List :- [T]), got wat::core::String `\\	(= 9 (count "fig tree!"))
6	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects :wat::core::char; got :wat::core::String	(= false (= \p "p"))
7	refused	true	unresolved: :wat::core::subs	(= "tree" (subs "fig tree" 4 8))
8	refused	true	ArityMismatch: :wat::string::join: expected 2 argument(s); got 1	(= "456" (string/join [4 5 6]))
9	literal	true		(= "4-5-6" (string/join "-" [4 5 6]))
10	refused	true	unresolved: :wat::string::split-lines	(= ["a" "b" "c"] (string/split-lines "a\nb\nc"))
11	refused	true	unresolved: :wat::string::reverse	(= "mulp" (string/reverse "plum"))
12	refused	true	unresolved: :wat::string::index-of	(= 4 (string/index-of "fig tree" "tree"))
13	refused	true	unresolved: :wat::string::last-index-of	(= 9 (string/last-index-of "fig tree fig" "fig"))
14	refused	true	unresolved: :wat::string::index-of	(= nil (string/index-of "fig tree" "plum"))
15	literal	true		(= "fig tree" (string/trim " \t fig tree\n "))
16	refused	true	unresolved: :wat::core::char?	(= true (char? \f))
17	refused	true	unresolved: :wat::core::char?	(= false (char? "f"))
18	refused	true	unresolved: :wat::core::string?	(= false (string? \f))
19	refused	true	unresolved: :wat::core::string?	(= true (string? "f"))
20	refused	true	unresolved: :wat::string::blank?	(= true (string/blank? ""))
21	refused	true	unresolved: :wat::string::blank?	(= true (string/blank? " \t\n "))
22	refused	true	unresolved: :wat::string::blank?	(= false (string/blank? "fig\ntree"))
