row	verdict	clojure	wat said	koan
1	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects (:wat::core::Vector :- [:wat::core::i64]); got (:wat::stream::Stream :- [:?])	(= [3 6 9] (map (fn [x] (* 3 x)) [1 2 3]))
2	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects (:wat::core::Vector :- [:wat::core::i64]); got (:wat::stream::Stream :- [:?])	(= [1 4 9 16] (map (fn [x] (* x x)) [1 2 3 4]))
3	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects (:wat::core::Vector :- [:wat::core::bool]); got (:wat::stream::Stream :- [:?])	(= [false true false] (map nil? [:a nil :b]))
4	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects :wat::WatAST; got (:wat::stream::Stream :- [:?])	(= '() (filter (fn [x] false) '(:a :b :c)))
5	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects :wat::WatAST; got (:wat::stream::Stream :- [:?])	(= '(:a :b :c) (filter (fn [x] true) '(:a :b :c)))
6	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects (:wat::core::Vector :- [:wat::core::i64]); got (:wat::stream::Stream :- [:wat::core::i64])	(= [5 10 15] (filter (fn [x] (< x 20)) [5 10 15 20 25]))
7	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects (:wat::core::Vector :- [:wat::core::i64]); got (:wat::stream::Stream :- [:?])	(= [10 20 30] (map (fn [x] (* 10 x)) (filter (fn [x] (< x 4)) [1 2 3 4 5])))
8	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= 120 (reduce (fn [a b] (* a b)) [1 2 3 4 5]))
9	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= 240 (reduce (fn [a b] (* a b)) 2 [1 2 3 4 5]))
10	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= "longest" (reduce (fn [a b] (if (< (count a) (count b)) b a)) ["which" "is" "longest"]))
