topic	row	tier
01-equalities	1	literal
01-equalities	2	literal
01-equalities	3	idiom
01-equalities	4	literal
01-equalities	5	literal
01-equalities	6	idiom
01-equalities	7	refused
01-equalities	8	refused
01-equalities	9	idiom
01-equalities	10	idiom
01-equalities	11	literal
01-equalities	12	literal
02-strings	1	literal
02-strings	2	literal
02-strings	3	idiom
02-strings	4	idiom
02-strings	5	idiom
02-strings	6	refused
02-strings	7	idiom
02-strings	8	idiom
02-strings	9	literal
02-strings	10	idiom
02-strings	11	missing
02-strings	12	missing
02-strings	13	missing
02-strings	14	missing
02-strings	15	literal
02-strings	16	refused
02-strings	17	refused
02-strings	18	refused
02-strings	19	refused
02-strings	20	idiom
02-strings	21	idiom
02-strings	22	idiom
03-lists	1	idiom
03-lists	2	idiom
03-lists	3	literal
03-lists	4	literal
03-lists	5	literal
03-lists	6	literal
03-lists	7	idiom
03-lists	8	idiom
03-lists	9	idiom
03-lists	10	idiom
03-lists	11	idiom
03-lists	12	missing
04-vectors	1	literal
04-vectors	2	idiom
04-vectors	3	idiom
04-vectors	4	idiom
04-vectors	5	literal
04-vectors	6	literal
04-vectors	7	idiom
04-vectors	8	literal
04-vectors	9	idiom
04-vectors	10	refused
05-sets	1	idiom
05-sets	2	literal
05-sets	3	idiom
05-sets	4	missing
05-sets	5	missing
05-sets	6	missing
06-maps	1	idiom
06-maps	2	idiom
06-maps	3	literal
06-maps	4	idiom
06-maps	5	idiom
06-maps	6	idiom
06-maps	7	idiom
06-maps	8	idiom
06-maps	9	idiom
06-maps	10	literal
06-maps	11	literal
06-maps	12	literal
06-maps	13	literal
06-maps	14	idiom
06-maps	15	idiom
06-maps	16	idiom
06-maps	17	idiom
06-maps	18	idiom
07-functions	1	idiom
07-functions	2	idiom
07-functions	3	idiom
07-functions	4	idiom
07-functions	5	idiom
07-functions	6	idiom
07-functions	7	idiom
07-functions	8	idiom
07-functions	9	idiom
07-functions	10	idiom
08-conditionals	1	idiom
08-conditionals	2	idiom
08-conditionals	3	idiom
08-conditionals	4	refused
08-conditionals	5	idiom
08-conditionals	6	idiom
08-conditionals	7	idiom
08-conditionals	8	idiom
08-conditionals	9	idiom
09-higher-order-functions	1	idiom
09-higher-order-functions	2	idiom
09-higher-order-functions	3	idiom
09-higher-order-functions	4	idiom
09-higher-order-functions	5	idiom
09-higher-order-functions	6	idiom
09-higher-order-functions	7	idiom
09-higher-order-functions	8	idiom
09-higher-order-functions	9	idiom
09-higher-order-functions	10	idiom
10-runtime-polymorphism	1	idiom
10-runtime-polymorphism	2	idiom
10-runtime-polymorphism	3	idiom
10-runtime-polymorphism	4	idiom
10-runtime-polymorphism	5	idiom
10-runtime-polymorphism	6	idiom
10-runtime-polymorphism	7	idiom
11-lazy-sequences	1	idiom
11-lazy-sequences	2	idiom
11-lazy-sequences	3	idiom
11-lazy-sequences	4	idiom
11-lazy-sequences	5	idiom
11-lazy-sequences	6	idiom
11-lazy-sequences	7	idiom
12-sequence-comprehensions	1	idiom
12-sequence-comprehensions	2	idiom
12-sequence-comprehensions	3	idiom
12-sequence-comprehensions	4	idiom
12-sequence-comprehensions	5	idiom
13-creating-functions	1	refused
13-creating-functions	2	refused
13-creating-functions	3	idiom
13-creating-functions	4	idiom
13-creating-functions	5	idiom
13-creating-functions	6	idiom
13-creating-functions	7	idiom
14-recursion	1	idiom
14-recursion	2	idiom
14-recursion	3	idiom
14-recursion	4	idiom
14-recursion	5	idiom
14-recursion	6	idiom
14-recursion	7	idiom
14-recursion	8	idiom
14-recursion	9	idiom
14-recursion	10	idiom
14-recursion	11	idiom
15-destructuring	1	idiom
15-destructuring	2	idiom
15-destructuring	3	idiom
15-destructuring	4	idiom
15-destructuring	5	idiom
15-destructuring	6	idiom
15-destructuring	7	idiom
16-refs	1	idiom
16-refs	2	idiom
16-refs	3	idiom
16-refs	4	idiom
16-refs	5	idiom
16-refs	6	idiom
16-refs	7	refused
17-atoms	1	idiom
17-atoms	2	idiom
17-atoms	3	idiom
17-atoms	4	idiom
17-atoms	5	refused
17-atoms	6	refused
18-quote	1	literal
18-quote	2	literal
18-quote	3	literal
18-quote	4	idiom
18-quote	5	idiom
18-quote	6	idiom
18-quote	7	idiom
19-datatypes	1	idiom
19-datatypes	2	idiom
19-datatypes	3	idiom
19-datatypes	4	refused
19-datatypes	5	refused
19-datatypes	6	idiom
19-datatypes	7	idiom
20-java-interop	1	refused
20-java-interop	2	idiom
20-java-interop	3	idiom
20-java-interop	4	refused
20-java-interop	5	idiom
21-partition	1	idiom
21-partition	2	idiom
21-partition	3	idiom
21-partition	4	idiom
21-partition	5	refused
21-partition	6	refused
22-group-by	1	idiom
22-group-by	2	idiom
22-group-by	3	idiom
22-group-by	4	idiom
22-group-by	5	idiom
23-meta	1	missing
23-meta	2	missing
23-meta	3	missing
23-meta	4	missing
23-meta	5	missing
23-meta	6	idiom
23-meta	7	missing
23-meta	8	missing
23-meta	9	missing
23-meta	10	missing
24-macros	1	idiom
24-macros	2	idiom
24-macros	3	idiom
24-macros	4	idiom
24-macros	5	idiom
24-macros	6	idiom
25-threading-macros	1	literal
25-threading-macros	2	idiom
25-threading-macros	3	literal
25-threading-macros	4	idiom
25-threading-macros	5	idiom
25-threading-macros	6	idiom
25-threading-macros	7	idiom
25-threading-macros	8	idiom
26-transducers	1	idiom
26-transducers	2	idiom
26-transducers	3	idiom
26-transducers	4	idiom
26-transducers	5	idiom
27-multimethods	1	idiom
27-multimethods	2	idiom
27-multimethods	3	idiom
27-multimethods	4	idiom
