chapter1.example1	(quote ham)
chapter1.example2	(quote t)
chapter1.example3	(quote nil)
chapter1.example4	(quote nil)
chapter1.example5	(quote nil)
chapter1.example6	(quote t)
chapter1.example7	(quote t)
chapter1.example8	(quote t)
chapter1.example9	(equal (cons (quote bagels) (quote (and lox))) (cons x y))
chapter1.example10	(cons y (equal (cdr x) (equal (atom x) (quote nil))))
chapter1.example11	(cons y (equal (car (cons (car (cons (cdr x) (car y))) (quote (oats)))) (equal (atom x) (atom (cons (atom b) (equal c (cons a b)))))))
chapter1.example12	(atom (car a))
chapter2.example1	(if (if (equal a (quote t)) (quote t) (equal (quote or) (quote (black coffee)))) c c)
chapter2.example2	(if (atom (car a)) (if (equal (car a) (cdr a)) (quote hominy) (quote grits)) (if (equal (cdr (car a)) (quote (hash browns))) (cons (quote ketchup) (cons (car (car a)) (quote (hash browns)))) (cons (quote mustard) (car a))))
chapter2.example3	(cons (quote statement) (if (equal a (quote question)) (cons (cons n (quote (answer))) (cons n (quote (other answer)))) (cons (cons n (quote (else))) (cons n (quote (other else))))))
