utc	wat_rs	file	ms	exit
2026-09-14T22:48:28Z	a3218644d	books/little-schemer/ch01-toys.wat	382	0
2026-09-14T22:48:29Z	a3218644d	books/little-schemer/ch02-do-it-again.wat	458	0
2026-09-14T22:48:29Z	a3218644d	books/little-schemer/ch03-cons-the-magnificent.wat	438	0
2026-09-14T22:48:30Z	a3218644d	books/little-schemer/ch04-numbers-games.wat	473	0
2026-09-14T22:48:30Z	a3218644d	books/little-schemer/ch05-full-of-stars.wat	444	0
2026-09-14T22:48:30Z	a3218644d	books/little-schemer/ch06-shadows.wat	482	0
2026-09-14T22:48:31Z	a3218644d	books/little-schemer/ch07-friends-and-relations.wat	451	0
2026-09-14T22:48:31Z	a3218644d	books/little-schemer/ch08-lambda-the-ultimate.wat	548	0
2026-09-14T22:48:32Z	a3218644d	books/little-schemer/ch09-and-again.wat	473	0
2026-09-14T22:48:32Z	a3218644d	books/little-schemer/ch10-value.wat	499	0
